,YEAR_op,TECHNOLOGIES,capacity_Pvar
0,2040,SMR,395.3486532442757
1,2040,WindOnShore,1502.374153389214
2,2040,SMR_elec,0.0
3,2040,electrolysis_AEL,1225.9368674084037
4,2040,Solar,0.0
5,2040,WindOffShore_flot,0.0
6,2040,CCS2,0.0
7,2040,SMR + CCS2,0.0
8,2040,SMR + CCS1,15.651346755724317
9,2040,electrolysis_PEMEL,0.0
10,2040,curtailment,100000.0
11,2040,CCS1,0.0
12,2040,SMR_elecCCS1,0.0
13,2050,SMR,171.1594937669653
14,2050,WindOnShore,1714.111259498895
15,2050,SMR_elec,0.0
16,2050,electrolysis_AEL,1311.4738331972726
17,2050,Solar,1337.0608487122706
18,2050,WindOffShore_flot,0.0
19,2050,CCS2,-0.0
20,2050,SMR + CCS2,0.0
21,2050,SMR + CCS1,15.651346755724317
22,2050,electrolysis_PEMEL,0.0
23,2050,curtailment,100000.0
24,2050,CCS1,-0.0
25,2050,SMR_elecCCS1,0.0
26,2020,SMR,411.0
27,2020,WindOnShore,0.0
28,2020,SMR_elec,0.0
29,2020,electrolysis_AEL,0.0
30,2020,Solar,0.0
31,2020,WindOffShore_flot,0.0
32,2020,CCS2,0.0
33,2020,SMR + CCS2,0.0
34,2020,SMR + CCS1,0.0
35,2020,electrolysis_PEMEL,0.0
36,2020,curtailment,0.0
37,2020,CCS1,0.0
38,2020,SMR_elecCCS1,0.0
39,2030,SMR,395.3486532442757
40,2030,WindOnShore,1070.0078366099008
41,2030,SMR_elec,0.0
42,2030,electrolysis_AEL,593.8427196954252
43,2030,Solar,0.0
44,2030,WindOffShore_flot,0.0
45,2030,CCS2,-0.0
46,2030,SMR + CCS2,0.0
47,2030,SMR + CCS1,15.651346755724317
48,2030,electrolysis_PEMEL,0.0
49,2030,curtailment,0.0
50,2030,CCS1,0.0
51,2030,SMR_elecCCS1,0.0
